1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
2298	-0.253028	54.289571	0.746434	0.037016	1.5
2299	-0.306837	53.338910	0.755979	0.062207	1.4
2300	-0.273293	54.338910	0.745945	0.011321	1.3
2301	-0.311259	55.337723	0.736185	0.034200	1.3
2302	-0.279687	56.161557	0.728325	0.036245	2.0
2303	-0.298294	57.161557	0.719007	0.038750	1.5
2304	-0.267961	56.210852	0.727860	0.029562	1.3
2305	-0.264163	56.324706	0.726788	0.005658	1.3
2306	-0.274990	56.149747	0.728436	0.019430	1.3
2307	-0.288619	55.738393	0.732341	0.039530	1.4
2308	-0.291136	54.830168	0.741112	0.028927	1.6
2309	-0.281231	55.830167	0.731466	0.062932	1.4
2310	-0.316314	56.830167	0.722068	0.025043	1.3
2311	-0.279174	57.830167	0.712908	0.039276	1.5
2312	-0.314466	56.879461	0.721611	0.047056	1.3
2313	-0.283057	55.928756	0.730529	0.030495	1.2
2314	-0.256000	54.978051	0.739670	0.066929	1.3
2315	-0.296710	54.027346	0.749043	0.011052	1.3
2316	-0.273350	55.027334	0.739190	0.075353	1.5
2317	-0.282133	55.565885	0.733991	0.064729	1.5
2318	-0.263402	56.565885	0.724528	0.013421	1.6
2319	-0.273809	55.615182	0.733519	0.011238	1.3
2320	-0.262412	56.104124	0.728867	0.059393	1.3
2321	-0.300048	56.854452	0.721843	0.054017	1.7
2322	-0.268574	55.903747	0.730766	0.022129	3.1
2323	-0.275240	56.903747	0.721386	0.037652	1.5
2324	-0.265555	57.860773	0.712632	0.016191	1.3
2325	-0.310936	58.860718	0.703709	0.110644	1.4
2326	-0.306083	57.910013	0.712187	0.066766	1.3
2327	-0.315042	58.910013	0.703274	0.027036	1.7
2328	-0.280141	57.967755	0.711666	0.018510	1.3
2329	-0.287395	57.267180	0.718036	0.035759	1.2
2330	-0.284103	58.267172	0.708978	0.033005	1.4
2331	-0.291766	57.372166	0.717074	0.022920	1.3
2332	-0.300713	56.928974	0.721152	0.033135	1.6
2333	-0.309334	57.912646	0.712163	0.027413	1.6
2334	-0.311577	58.911617	0.703260	0.031977	1.3
2335	-0.251794	57.962106	0.711717	0.054241	1.7
2336	-0.293295	58.953036	0.702896	0.008775	1.4
2337	-0.293727	59.950788	0.694233	0.026763	1.3
2338	-0.275288	60.103610	0.692924	0.020335	1.3
